Title,Profit,Year
Little Fockers,"$310,650,585",2010
Bolt,"$309,979,994",2008
Ransom,"$309,492,681",1996
Runaway Bride,"$309,460,292",1999
The Blind Side,"$309,231,694",2009
The Ex-File 3: The Return of The Exes,"$307,592,427",2017
The Fault in Our Stars,"$307,166,834",2014
The Pursuit of Happyness,"$307,127,625",2006
Rise of the Guardians,"$306,941,670",2012
Close Encounters of the Third Kind,"$306,889,114",1977
Chicago,"$306,776,732",2002
Annabelle: Creation,"$306,515,884",2017
Bridesmaids,"$306,442,085",2011
Skyscraper,"$304,868,961",2018
A Good Day to Die Hard,"$304,654,182",2013
Mulan,"$304,320,254",1998
Dangal,"$303,723,636",2016
Passengers,"$303,144,152",2016
Battleship,"$303,025,485",2012
Liar Liar,"$302,710,615",1997
G.I. Joe: The Rise of Cobra,"$302,469,017",2009
Wrath of the Titans,"$301,970,083",2012
Fantastic Four: Rise of the Silver Surfer,"$301,913,131",2007
Hook,"$300,854,823",1991
Superman,"$300,478,449",1978
Rocky IV,"$300,473,716",1985
Rambo: First Blood Part II,"$300,400,432",1985
Resident Evil: Afterlife,"$300,228,084",2010
Van Helsing,"$300,157,638",2004
Stuart Little,"$300,135,367",1999
Beverly Hills Cop II,"$299,965,036",1987
Alice Through the Looking Glass,"$299,820,798",2016
My Best Friend's Wedding,"$299,288,605",1997
Real Steel,"$299,268,508",2011
Horton Hears a Who!,"$298,572,799",2008
Ocean's Eight,"$297,795,726",2018
A Quiet Place Part II,"$297,372,261",2021
The Divergent Series: Insurgent,"$297,002,527",2015
Look Who's Talking,"$296,999,813",1989
Austin Powers in Goldmember,"$296,938,801",2002
Ghostbusters,"$296,578,797",1984
Miss Peregrine's Home for Peculiar Children,"$296,482,446",2016
X-Men,"$296,339,528",2000
Ferdinand,"$296,069,199",2017
Shutter Island,"$294,805,697",2010
Doctor Dolittle,"$294,456,605",1998
Bee Movie,"$293,514,336",2007
Salt,"$293,503,354",2010
G-Force,"$292,817,898",2009
The Departed,"$291,480,452",2006
What Lies Beneath,"$291,420,351",2000
Pacific Rim: Uprising,"$290,930,148",2018
The Bourne Supremacy,"$290,835,269",2004
Sex and the City 2,"$290,745,055",2010
Shakespeare in Love,"$289,317,794",1998
Divergent,"$288,885,818",2014
Coming to America,"$288,752,301",1988
